ISO_A3,Country or region,Note,World Bank Region,"Total population, 2018","Total area, 2018",Evaluated area,Level 1 area (% of evaluated area),"Human development Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), long-term","Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity (% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity Tariffs for SMEs (US cent/kWh), 2019"
ABW,Aruba (Neth.),,Other,105845,180.0,180,0.847926267281106,,25630.2664922069,6.1098,4.9646,0.0853,1.1803,,6.1,57.6314422032217,92.4528443723035,,,
AFG,Afghanistan,,SOA,37172386,652860.0,652860,0.587350160673094,0.497695114045789,520.896602719135,5.4904,5.0159,0.0851,1.6665,,22.0,0.591837177199225,78.9610743548116,,0.0,17.6
AGO,Angola,,AFR,30809762,1246700.0,1246700,0.751833316269891,0.581178565460993,3432.38573600893,5.7467,4.6586,0.0919,1.3211,0.003,13.4,0.43492708577236,15.9842091217441,312.228824978484,3.0,4.6
ALB,Albania,,ECA,2866376,27400.0,27400,0.614858017880064,0.784910973404969,5253.63006411357,4.1954,4.0426,0.1051,2.3266,0.21,1.0,0.348872583359615,100.0,2309.36650255581,3.0,8.7
AND,Andorra,,Other,77006,470.0,470,0.110960757780785,0.857683594255898,42029.7627372989,4.049,4.199,0.0986,2.1531,,0.0,0.0,100.0,,,
ARE,United Arab Emirates,,MENA,9630959,71020.0,71020,0.593421865348981,0.862756660396514,43004.9486462341,6.0454,5.0043,0.0848,1.1793,0.732,493.5,51.2410031025986,100.0,11088.3502863794,8.0,11.0
ARG,Argentina,up to parallel 45°S,LCR,44494502,2736690.0,2475393,0.656025231717501,0.824849650008413,11652.5662897487,5.1243,4.5992,0.1084,1.6247,0.034,191.3,4.2994075987186,100.0,3074.70207056563,5.0,15.5
ARM,Armenia,,ECA,2951776,28470.0,28470,0.694657331536984,0.755112683179379,4212.07094272937,4.2241,4.1063,0.1038,2.4078,0.169,17.3,5.86087833223117,100.0,1961.61039526467,7.0,7.6
ASM,American Samoa (U.S.),,Other,55465,200.0,200,0.274590163934426,,11398.7774181949,4.9163,3.9826,0.1082,1.3005,,4.2,75.723429189579,,,,
ATG,Antigua and Barbuda,,LCR,96286,440.0,440,0.914545454545454,0.77953591018674,16864.3833609901,5.7543,4.7696,0.089,1.1877,,7.9,82.0472342812039,96.5468913480825,,4.0,43.7
AUS,Australia,,Other,24992369,7692020.0,7692020,0.229264111908583,0.938631285106575,57305.2990162045,5.7587,4.7071,0.0949,1.4737,0.019,9763.1,390.64323994256,100.0,10071.3989785006,7.0,23.1
AUT,Austria,,Other,8847037,82523.0,82523,0.427210695853971,0.9077551793932,51512.9054751534,3.2138,3.2571,0.1094,3.1889,1.25,1431.0,161.749069208143,100.0,8355.84195182134,7.0,9.8
AZE,Azerbaijan,,ECA,9942334,82670.0,82670,0.823314728989944,0.756965427408013,4721.17808673142,4.0422,3.8177,0.1116,2.0975,0.235,36.4,3.66111216943627,100.0,2202.39391828846,7.0,5.4
BDI,Burundi,,AFR,11175378,25680.0,25680,0.817563271016152,0.417216174255532,275.429603285318,5.1899,4.1723,0.1019,1.3202,,5.1,0.456360402305855,1.65223551976685,,0.0,15.7
BEL,Belgium,,Other,11422068,30280.0,30280,0.785622684525506,0.916066036844582,46556.0995671479,2.9436,2.9164,0.1219,3.9838,5.026,4025.6,352.440556298562,100.0,7709.12307788247,8.0,15.8
BEN,Benin,,AFR,11485048,112760.0,112760,0.988180118052715,0.514619672724906,901.954052193337,5.3253,4.1978,0.1015,1.4134,0.005,8.0,0.69655782021982,17.9698002077629,100.225122540037,0.0,19.6
BFA,Burkina Faso,,AFR,19751535,273600.0,273600,0.976009954325056,0.423423185255308,731.171716967411,5.8073,4.5701,0.093,1.2627,,61.8,3.12887074346374,0.765470963075056,,0.0,22.9
BGD,Bangladesh,,SOA,161356039,130170.0,130170,0.923039671362809,0.608155837031928,1698.26280233547,4.5955,3.8806,0.109,1.4717,0.242,201.1,1.24631220031374,68.85,320.204158205446,0.0,9.2
BGR,Bulgaria,,ECA,7024216,108560.0,108560,0.758936650939906,0.813006248671464,9272.62930360848,3.8729,3.7028,0.1147,2.6413,0.301,1035.6,147.432823819769,100.0,4708.92745757231,6.0,12.4
BHR,Bahrain,,MENA,1569439,778.0,778,0.760199004975124,0.84610833886364,24050.7575053956,5.7502,4.8686,0.0869,1.299,20.002,5.0,3.18585175976894,100.0,19596.9537638231,5.0,4.8
BHS,The Bahamas,,LCR,385640,10010.0,10010,0.689258896506693,0.80712629587972,31857.890145929,5.3607,4.5481,0.0936,1.2899,,1.3,3.37101960377554,100.0,,4.0,27.6
BIH,Bosnia and Herzegovina,,ECA,3323929,51200.0,51200,0.623169204085566,0.768450830849191,5951.32329883943,3.6591,3.5697,0.1195,2.7264,0.24,19.0,5.71612690884793,100.0,3446.76666750907,6.0,16.2
BLR,Belarus,,ECA,9485386,202988.0,202988,0.736146207604533,0.807529595527673,6289.93855308212,2.9377,2.9485,0.1446,6.4875,0.355,154.3,16.2671292449248,100.0,3679.9788400689,8.0,11.7
BLZ,Belize,,LCR,383071,22810.0,22810,0.421340578361681,0.707553154366279,5025.17810014332,5.0491,4.1768,0.1018,1.3431,,4.2,10.9640249457672,88.4200865737024,,4.0,19.5
BMU,Bermuda (U.K.),,Other,63968,54.0,54,0.987179487179487,,,4.7291,4.1838,0.1015,1.782,,0.0,0.0,,,,
BOL,Bolivia,,LCR,11353142,1083300.0,1083300,0.351001249012646,0.692536970509311,3548.59013979338,5.4239,4.9421,0.0884,1.261,0.003,71.0,6.25377538658461,79.145023819414,742.538399742886,6.0,17.0
BRA,Brazil,,LCR,209469333,8358140.0,8358140,0.538572461512847,0.759245369983666,8920.76210462979,5.2762,4.4042,0.1189,1.3414,0.03,2296.0,10.9610317038628,100.0,2619.96061573831,6.0,16.3
BRB,Barbados,,LCR,286641,430.0,430,0.808429118773946,0.800268630951227,16327.6072290756,5.7734,4.7151,0.0901,1.171,,24.0,83.7284268475201,100.0,,6.0,25.8
BRN,Brunei Darussalam,,Other,428962,5270.0,5270,0.120197904540163,0.853266971770683,31627.7420793167,4.8409,3.9009,0.1092,1.1982,0.392,1.2,2.79745059002895,100.0,10291.1640460845,7.0,5.2
BTN,Bhutan,,SOA,754394,38144.0,38144,0.044182472600801,0.612417609105288,3360.26686689029,3.9397,3.9158,0.1078,1.6063,,0.5,0.662783638257993,100.0,,4.0,5.4
BWA,Botswana,,AFR,2254126,566730.0,566730,0.474270415947558,0.716552128577548,8258.64166574691,6.0674,5.1069,0.0833,1.2137,0.003,2.9,1.28652967935244,37.4945434437789,1815.55806865223,0.0,14.4
CAF,Central African Republic,,AFR,4666377,622980.0,622980,0.573094083228261,0.36680934465729,509.970974805014,5.6971,4.4666,0.0952,1.4135,,0.3,0.064289704839536,0.363603775194712,,0.0,9.8
